Holding Name,Ticker,Sector,Country code,% of net assets
Tech Mahindra Ltd.,TECHM,Computer Services,IN,0.14932%
Samsung C&T Corp.,028260,Construction,KR,0.14875%
Dr Reddy's Laboratories Ltd.,DRREDDY,Pharmaceuticals,IN,0.14746%
CP ALL PCL,CPALL-F,Food Retailers and Wholesalers,TH,0.14722%
PICC Property & Casualty Co. Ltd.,2328,Property and Casualty Insurance,CN,0.14657%
First Financial Holding Co. Ltd.,2892,Banks,TW,0.14605%
Adani Green Energy Ltd.,ADANIGREEN,Alternative Electricity,IN,0.14568%
Nongfu Spring Co. Ltd.,9633,Soft Drinks,CN,0.14542%
BOC Hong Kong Holdings Ltd.,2388,Banks,HK,0.14528%
China Life Insurance Co. Ltd.,2628,Life Insurance,CN,0.14377%
Cipla Ltd./India,CIPLA,Pharmaceuticals,IN,0.14238%
Ecopro BM Co. Ltd.,247540,Electrical Components,KR,0.14099%
Ecopro Co. Ltd.,086520,Chemicals: Diversified,KR,0.13769%
Taiwan Cooperative Financial Holding Co. Ltd.,5880,Banks,TW,0.13762%
Wuxi Biologics Cayman Inc.,2269,Biotechnology,KY,0.13689%
Accton Technology Corp.,2345,Telecommunications Equipment,TW,0.13679%
Tata Consumer Products Ltd.,TATACONSUM,Soft Drinks,IN,0.13635%
Bharat Electronics Ltd.,BEL,Defense,IN,0.13559%
BeiGene Ltd.,6160,Biotechnology,KY,0.13536%
Wipro Ltd.,WIPRO,Computer Services,IN,0.13455%
CK Asset Holdings Ltd.,1113,Real Estate Holding and Development,KY,0.13352%
Realtek Semiconductor Corp.,2379,Semiconductors,TW,0.13331%
Hindalco Industries Ltd.,HINDALCO,Aluminum,IN,0.13309%
Bangkok Dusit Medical Services PCL,BDMS-F,Health Care Facilities,TH,0.13308%
Zijin Mining Group Co. Ltd.,2899,Gold Mining,CN,0.13287%
Indian Oil Corp. Ltd.,IOC,Oil Refining and Marketing,IN,0.13255%
KE Holdings Inc.,BEKE,Real Estate Services,KY,0.13210%
Hong Kong & China Gas Co. Ltd.,3,Gas Distribution,HK,0.13152%
Trent Ltd.,TRENT,Diversified Retailers,IN,0.13144%
China Resources Land Ltd.,1109,Real Estate Holding and Development,KY,0.13108%
Hang Seng Bank Ltd.,11,Banks,HK,0.13108%
Tenaga Nasional Bhd.,TENAGA,Conventional Electricity,MY,0.13080%
Formosa Plastics Corp.,1301,Plastics,TW,0.13019%
Lenovo Group Ltd.,992,Computer Hardware,HK,0.12917%
Shriram Finance Ltd.,SHRIRAMFIN,Consumer Lending,IN,0.12814%
Varun Beverages Ltd.,VBL,Soft Drinks,IN,0.12536%
Jardine Matheson Holdings Ltd.,J36,Diversified Industrials,BM,0.12444%
CapitaLand Integrated Commercial Trust,C38U,Retail REITs,SG,0.12033%
China Mengniu Dairy Co. Ltd.,2319,Food Products,KY,0.11941%
H World Group Ltd.,HTHT,Hotels and Motels,KY,0.11920%
CapitaLand Ascendas REIT,A17U,Diversified REITs,SG,0.11897%
SBI Life Insurance Co. Ltd.,SBILIFE,Life Insurance,IN,0.11846%
Power Assets Holdings Ltd.,6,Conventional Electricity,HK,0.11835%
Airports of Thailand PCL,AOT-F,Transportation Services,TH,0.11827%
Chailease Holding Co. Ltd.,5871,Consumer Lending,KY,0.11806%
Innovent Biologics Inc.,1801,Biotechnology,KY,0.11697%
Keppel Ltd.,BN4,Multi-Utilities,SG,0.11639%
Contemporary Amperex Technology Co. Ltd.,300750,Electrical Components,CN,0.11552%
LG Electronics Inc.,066570,Household Appliance,KR,0.11548%
Adani Power Ltd.,ADANIPOWER,Conventional Electricity,IN,0.11512%
Bajaj Finserv Ltd.,BAJAJFINSV,Full Line Insurance,IN,0.11445%
Lite-On Technology Corp.,2301,Computer Hardware,TW,0.11393%
SinoPac Financial Holdings Co. Ltd.,2890,Banks,TW,0.11319%
Unimicron Technology Corp.,3037,Electronic Components,TW,0.11302%
Tata Power Co. Ltd.,TATAPOWER,Conventional Electricity,IN,0.11283%
Britannia Industries Ltd.,BRITANNIA,Food Products,IN,0.11242%
Avenue Supermarts Ltd.,DMART,Diversified Retailers,IN,0.11146%
Woori Financial Group Inc.,316140,Banks,KR,0.11048%
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Health Care Facilities,IN,0.11025%
Hotai Motor Co. Ltd.,2207,Specialty Retailers,TW,0.11024%
KT&G Corp.,033780,Tobacco,KR,0.11017%
China Resources Beer Holdings Co. Ltd.,291,Brewers,HK,0.11006%
Bharat Petroleum Corp. Ltd.,BPCL,Oil Refining and Marketing,IN,0.10985%
Power Finance Corp. Ltd.,PFC,Consumer Lending,IN,0.10942%
DLF Ltd.,DLF,Real Estate Holding and Development,IN,0.10893%
Largan Precision Co. Ltd.,3008,Electronic Components,TW,0.10892%
Sands China Ltd.,1928,Casinos and Gambling,KY,0.10864%
Hua Nan Financial Holdings Co. Ltd.,2880,Banks,TW,0.10840%
Hindustan Aeronautics Ltd.,HAL,Aerospace,IN,0.10825%
POSCO Future M Co. Ltd.,003670,Iron and Steel,KR,0.10776%
HDFC Life Insurance Co. Ltd.,HDFCLIFE,Life Insurance,IN,0.10754%
Hero MotoCorp Ltd.,HEROMOTOCO,Recreational Vehicles and Boats,IN,0.10704%
Haier Smart Home Co. Ltd.,6690,Household Appliance,CN,0.10626%
Tencent Music Entertainment Group,TME,Entertainment,KY,0.10576%
NIO Inc.,9866,Automobiles,KY,0.10555%
BDO Unibank Inc.,BDO,Banks,PH,0.10499%
REC Ltd.,RECLTD,Consumer Lending,IN,0.10448%
Yageo Corp.,2327,Electronic Components,TW,0.10405%
Astra International Tbk PT,ASII,Automobiles,ID,0.10395%
Samsung Fire & Marine Insurance Co. Ltd.,000810,Property and Casualty Insurance,KR,0.10358%
CSPC Pharmaceutical Group Ltd.,1093,Pharmaceuticals,HK,0.10287%
HLB Inc.,028300,Medical Supplies,KR,0.10258%
Taishin Financial Holding Co. Ltd.,2887,Banks,TW,0.10238%
Wiwynn Corp.,6669,Computer Hardware,TW,0.10235%
Eicher Motors Ltd.,EICHERMOT,Recreational Vehicles and Boats,IN,0.10130%
China Development Financial Holding Corp.,2883,Life Insurance,TW,0.10129%
China Merchants Bank Co. Ltd.,600036,Banks,CN,0.10061%
Bajaj Auto Ltd.,BAJAJ-AUTO,Recreational Vehicles and Boats,IN,0.09965%
Advanced Info Service PCL,ADVANC-F,Telecommunications Services,TH,0.09958%
TAL Education Group,TAL,Education Services,KY,0.09844%
Singapore Airlines Ltd.,C6L,Airlines,SG,0.09822%
Singapore Exchange Ltd.,S68,Investment Services,SG,0.09726%
Vipshop Holdings Ltd.,VIPS,Diversified Retailers,KY,0.09668%
Shenzhou International Group Holdings Ltd.,2313,Clothing and Accessories,KY,0.09593%
ENN Energy Holdings Ltd.,2688,Gas Distribution,KY,0.09587%
Max Healthcare Institute Ltd.,MAXHEALTH,Health Care Facilities,IN,0.09488%
Samsung Electro-Mechanics Co. Ltd.,009150,Electronic Components,KR,0.09470%
LG Corp.,003550,Diversified Industrials,KR,0.09439%
E Ink Holdings Inc.,8069,Electronic Components,TW,0.09365%
China Yangtze Power Co. Ltd.,600900,Alternative Electricity,CN,0.09365%
TVS Motor Co. Ltd.,TVSMOTOR,Recreational Vehicles and Boats,IN,0.09338%
Meritz Financial Group Inc.,138040,Investment Services,KR,0.09312%
Taiwan Cement Corp.,1101,Cement,TW,0.09312%
Bank Negara Indonesia Persero Tbk PT,BBNI,Banks,ID,0.09225%
Formosa Chemicals & Fibre Corp.,1326,Chemicals: Diversified,TW,0.09213%
Wuliangye Yibin Co. Ltd.,000858,Distillers and Vintners,CN,0.09153%
SM Prime Holdings Inc.,SMPH,Real Estate Holding and Development,PH,0.09114%
China Tower Corp. Ltd.,788,Telecommunications Equipment,CN,0.09009%
Yes Bank Ltd.,YESBANK,Banks,IN,0.08889%
Li Ning Co. Ltd.,2331,Clothing and Accessories,KY,0.08873%
Godrej Consumer Products Ltd.,GODREJCP,Personal Products,IN,0.08872%
Indian Hotels Co. Ltd.,INDHOTEL,Hotels and Motels,IN,0.08852%
China Overseas Land & Investment Ltd.,688,Real Estate Holding and Development,HK,0.08843%
PTT Exploration & Production PCL,PTTEP-F,Oil: Crude Producers,TH,0.08799%
CITIC Ltd.,267,Diversified Industrials,HK,0.08792%
LTIMindtree Ltd.,LTIM,Computer Services,IN,0.08785%
GAIL India Ltd.,GAIL,Oil Refining and Marketing,IN,0.08666%
Pegatron Corp.,4938,Computer Hardware,TW,0.08638%
Doosan Enerbility Co. Ltd.,034020,Machinery: Industrial,KR,0.08602%
Persistent Systems Ltd.,PERSISTENT,Computer Services,IN,0.08590%
International Container Terminal Services Inc.,ICT,Transportation Services,PH,0.08580%
Geely Automobile Holdings Ltd.,175,Automobiles,KY,0.08543%
CapitaLand Investment Ltd./Singapore,9CI,Real Estate Holding and Development,SG,0.08507%
Wilmar International Ltd.,F34,Fruit and Grain Processing,SG,0.08458%
Siam Cement PCL,SCC-F,Diversified Industrials,TH,0.08431%
Taiwan Mobile Co. Ltd.,3045,Telecommunications Services,TW,0.08408%
Advantech Co. Ltd.,2395,Computer Hardware,TW,0.08352%
Yankuang Energy Group Co. Ltd.,1171,Coal,CN,0.08338%
Cholamandalam Investment and Finance Co. Ltd.,CHOLAFIN,Consumer Lending,IN,0.08307%
SCB X PCL,SCB-F,Banks,TH,0.08304%
Shanghai Commercial & Savings Bank Ltd.,5876,Banks,TW,0.08274%
Pidilite Industries Ltd.,PIDILITIND,Chemicals: Diversified,IN,0.08212%
Ambuja Cements Ltd.,AMBUJACEM,Cement,IN,0.08169%
Delta Electronics Thailand PCL,DELTA-F,Electronic Components,TH,0.08167%
ICICI Lombard General Insurance Co. Ltd.,ICICIGI,Property and Casualty Insurance,IN,0.08139%
Divi's Laboratories Ltd.,DIVISLAB,Pharmaceuticals,IN,0.08092%
Gigabyte Technology Co. Ltd.,2376,Computer Hardware,TW,0.08083%
Postal Savings Bank of China Co. Ltd.,1658,Banks,CN,0.08082%
Info Edge India Ltd.,NAUKRI,Consumer Digital Services,IN,0.08042%
Kasikornbank PCL,KBANK-F,Banks,TH,0.08028%
Siemens Ltd.,SIEMENS,Diversified Industrials,IN,0.08022%
eMemory Technology Inc.,3529,Semiconductors,TW,0.07936%
Wharf Real Estate Investment Co. Ltd.,1997,Real Estate Holding and Development,KY,0.07885%
Kanzhun Ltd.,BZ,Business Training and Employment Agencie,KY,0.07867%
SK Innovation Co. Ltd.,096770,Oil Refining and Marketing,KR,0.07843%
Bank of Communications Co. Ltd.,3328,Banks,CN,0.07840%
China Pacific Insurance Group Co. Ltd.,2601,Life Insurance,CN,0.07790%
Coforge Ltd.,COFORGE,Computer Services,IN,0.07785%
Lupin Ltd.,LUPIN,Pharmaceuticals,IN,0.07773%
HDFC Asset Management Co. Ltd.,HDFCAMC,Asset Managers and Custodians,IN,0.07737%
XPeng Inc.,9868,Automobiles,KY,0.07717%
Singapore Technologies Engineering Ltd.,S63,Aerospace,SG,0.07713%
MRF Ltd.,MRF,Tires,IN,0.07665%
Airtac International Group,1590,Machinery: Industrial,KY,0.07580%
Central Pattana PCL,CPN-F,Real Estate Holding and Development,TH,0.07538%
MTR Corp. Ltd.,66,Railroads,HK,0.07532%
Samsung Life Insurance Co. Ltd.,032830,Life Insurance,KR,0.07524%
China CITIC Bank Corp. Ltd.,998,Banks,CN,0.07519%
Samsonite International SA,1910,Clothing and Accessories,LU,0.07470%
Evergreen Marine Corp. Taiwan Ltd.,2603,Marine Transportation,TW,0.07466%
Krafton Inc.,259960,Electronic Entertainment,KR,0.07433%
SK Square Co. Ltd.,402340,Asset Managers and Custodians,KR,0.07427%
WH Group Ltd.,288,Food Products,KY,0.07367%
InterGlobe Aviation Ltd.,INDIGO,Airlines,IN,0.07322%
Swire Pacific Ltd.,19,Soft Drinks,HK,0.07290%
Ping An Insurance Group Co. of China Ltd.,601318,Life Insurance,CN,0.07279%
Tata Motors Ltd.,TATAMTRDVR,Automobiles,IN,0.07276%
SK Inc.,034730,Oil Refining and Marketing,KR,0.07267%
Hanwha Aerospace Co. Ltd.,012450,Aerospace,KR,0.07189%
Adani Energy Solutions Ltd.,ADANIENSOL,Conventional Electricity,IN,0.07158%
President Chain Store Corp.,2912,Food Retailers and Wholesalers,TW,0.07103%
Full Truck Alliance Co. Ltd.,YMM,Transportation Services,KY,0.07086%
Micro-Star International Co. Ltd.,2377,Computer Hardware,TW,0.06992%
Global Unichip Corp.,3443,Semiconductors,TW,0.06985%
Compal Electronics Inc.,2324,Computer Hardware,TW,0.06948%
Havells India Ltd.,HAVELLS,Electrical Components,IN,0.06932%
Korea Electric Power Corp.,015760,Conventional Electricity,KR,0.06931%
Inventec Corp.,2356,Computer Hardware,TW,0.06926%
KakaoBank Corp.,323410,Banks,KR,0.06921%
Sunny Optical Technology Group Co. Ltd.,2382,Electronic Components,KY,0.06908%
Ayala Land Inc.,ALI,Real Estate Holding and Development,PH,0.06882%
PB Fintech Ltd.,POLICYBZR,Insurance Brokers,IN,0.06827%
China Resources Power Holdings Co. Ltd.,836,Conventional Electricity,HK,0.06794%
Shree Cement Ltd.,SHREECEM,Cement,IN,0.06791%
Samsung SDS Co. Ltd.,018260,Computer Services,KR,0.06702%
SRF Ltd.,SRF,Chemicals: Diversified,IN,0.06650%
HMM Co. Ltd.,011200,Marine Transportation,KR,0.06637%
Far EasTone Telecommunications Co. Ltd.,4904,Telecommunications Services,TW,0.06569%
Colgate-Palmolive India Ltd.,COLPAL,Personal Products,IN,0.06542%
Tube Investments of India Ltd.,TIINDIA,Metal Fabricating,IN,0.06483%
Innolux Corp.,3481,Electronic Components,TW,0.06455%
Bank of the Philippine Islands,BPI,Banks,PH,0.06454%
Cummins India Ltd.,CUMMINSIND,Machinery: Engines,IN,0.06450%
CITIC Securities Co. Ltd.,6030,Investment Services,CN,0.06410%
Henderson Land Development Co. Ltd.,12,Real Estate Holding and Development,HK,0.06329%
Alteogen Inc.,196170,Biotechnology,KR,0.06325%
JD Health International Inc.,6618,Drug Retailers,KY,0.06260%
Hyundai Motor Co.,005387,Automobiles,KR,0.06234%
Samsung Heavy Industries Co. Ltd.,010140,Marine Transportation,KR,0.06220%
Acer Inc.,2353,Computer Hardware,TW,0.06215%
Ayala Corp.,AC,Real Estate Holding and Development,PH,0.06208%
Tatung Co. Ltd.,2371,Electrical Components,TW,0.06156%
AUO Corp.,2409,Electronic Components,TW,0.06129%
Petronas Chemicals Group Bhd.,PCHEM,Chemicals: Diversified,MY,0.06111%
Silergy Corp.,6415,Semiconductors,KY,0.06106%
Mapletree Logistics Trust,M44U,Industrial REITs,SG,0.06039%
Vedanta Ltd.,VEDL,General Mining,IN,0.06039%
CELCOMDIGI Bhd.,CDB,Telecommunications Services,MY,0.05999%
Tsingtao Brewery Co. Ltd.,168,Brewers,CN,0.05981%
Synnex Technology International Corp.,2347,Computer Hardware,TW,0.05964%
Hongkong Land Holdings Ltd.,H78,Real Estate Holding and Development,BM,0.05914%
IHH Healthcare Bhd.,IHH,Health Care Facilities,MY,0.05866%
Sino Biopharmaceutical Ltd.,1177,Pharmaceuticals,KY,0.05857%
ASMPT Ltd.,522,Production Technology Equipment,KY,0.05843%
Aurobindo Pharma Ltd.,AUROPHARMA,Pharmaceuticals,IN,0.05820%
Shin Kong Financial Holding Co. Ltd.,2888,Life Insurance,TW,0.05788%
Chang Hwa Commercial Bank Ltd.,2801,Banks,TW,0.05787%
Chicony Electronics Co. Ltd.,2385,Computer Hardware,TW,0.05783%
Shenzhen Mindray Bio-Medical Electronics Co. Ltd.,300760,Medical Equipment,CN,0.05768%
Minor International PCL,MINT-F,Hotels and Motels,TH,0.05763%
HD Korea Shipbuilding & Offshore Engineering Co. Ltd.,009540,Marine Transportation,KR,0.05745%
United Spirits Ltd.,MCDOWELL-N,Distillers and Vintners,IN,0.05741%
Agricultural Bank of China Ltd.,601288,Banks,CN,0.05735%
Globalwafers Co. Ltd.,6488,Semiconductors,TW,0.05719%
Genting Singapore Ltd.,G13,Casinos and Gambling,SG,0.05701%
Jindal Steel & Power Ltd.,JINDALSTEL,Iron and Steel,IN,0.05675%
COSCO SHIPPING Holdings Co. Ltd.,1919,Marine Transportation,CN,0.05653%
Zijin Mining Group Co. Ltd.,601899,Gold Mining,CN,0.05643%
Embassy Office Parks REIT,EMBASSY,Office REITs,IN,0.05640%
Mapletree Industrial Trust,ME8U,Industrial REITs,SG,0.05627%
Korea Zinc Co. Ltd.,010130,Platinum and Precious Metals,KR,0.05600%
Sino Land Co. Ltd.,83,Real Estate Holding and Development,HK,0.05595%
Samvardhana Motherson International Ltd.,MOTHERSON,Auto Parts,IN,0.05583%
ABB India Ltd.,ABB,Electrical Components,IN,0.05565%
PRADA SPA,1913,Clothing and Accessories,IT,0.05558%
ESR Cayman Ltd.,1821,Real Estate Holding and Development,KY,0.05537%
Sembcorp Industries Ltd.,U96,Multi-Utilities,SG,0.05530%
Catcher Technology Co. Ltd.,2474,Electronic Components,TW,0.05481%
Gulf Energy Development PCL,GULF-F,Conventional Electricity,TH,0.05471%
Far Eastern New Century Corp.,1402,Diversified Industrials,TW,0.05442%
Korean Air Lines Co. Ltd.,003490,Airlines,KR,0.05440%
Sino-American Silicon Products Inc.,5483,Semiconductors,TW,0.05432%
Bharat Heavy Electricals Ltd.,BHEL,Machinery: Specialty,IN,0.05428%
Godrej Properties Ltd.,GODREJPROP,Real Estate Holding and Development,IN,0.05423%
Sumber Alfaria Trijaya Tbk PT,AMRT,Food Retailers and Wholesalers,ID,0.05411%
Industrial Bank Co. Ltd.,601166,Banks,CN,0.05400%
Yangzijiang Shipbuilding Holdings Ltd.,BS6,Marine Transportation,SG,0.05391%
Marico Ltd.,MARICO,Personal Products,IN,0.05385%
Punjab National Bank,PNB,Banks,IN,0.05365%
CK Infrastructure Holdings Ltd.,1038,Multi-Utilities,BM,0.05344%
Wharf Holdings Ltd.,4,Real Estate Holding and Development,HK,0.05306%
CGN Power Co. Ltd.,1816,Conventional Electricity,CN,0.05305%
Tata Elxsi Ltd.,TATAELXSI,Software,IN,0.05298%
Sinopharm Group Co. Ltd.,1099,Drug Retailers,CN,0.05295%
CG Power & Industrial Solutions Ltd.,CGPOWER,Electrical Components,IN,0.05269%
PI Industries Ltd.,PIIND,Fertilizers,IN,0.05257%
Container Corp. Of India Ltd.,CONCOR,Transportation Services,IN,0.05255%
DB Insurance Co. Ltd.,005830,Property and Casualty Insurance,KR,0.05234%
Kunlun Energy Co. Ltd.,135,Oil Refining and Marketing,BM,0.05221%
Supreme Industries Ltd.,SUPREMEIND,Plastics,IN,0.05218%
IDFC First Bank Ltd.,IDFCFIRSTB,Banks,IN,0.05217%
Amman Mineral Internasional PT,AMMN,Gold Mining,ID,0.05187%
APL Apollo Tubes Ltd.,APLAPOLLO,Iron and Steel,IN,0.05170%
Eclat Textile Co. Ltd.,1476,Textile Products,TW,0.05151%
Dabur India Ltd.,DABUR,Personal Products,IN,0.05139%
Indian Railway Catering & Tourism Corp. Ltd.,IRCTC,Vending and Catering Service,IN,0.05133%
Hindustan Petroleum Corp. Ltd.,HINDPETRO,Oil Refining and Marketing,IN,0.05130%
Bank of Baroda,BANKBARODA,Banks,IN,0.05110%
Bharat Forge Ltd.,BHARATFORG,Metal Fabricating,IN,0.05107%
Weichai Power Co. Ltd.,2338,Machinery: Engines,CN,0.05099%
Zydus Lifesciences Ltd.,ZYDUSLIFE,Pharmaceuticals,IN,0.05088%
L&F Co. Ltd.,066970,Specialty Chemicals,KR,0.05055%
Powertech Technology Inc.,6239,Semiconductors,TW,0.05025%
Press Metal Aluminium Holdings Bhd.,PMETAL,Aluminum,MY,0.05021%
Akeso Inc.,9926,Biotechnology,KY,0.05012%
