Number,Security name,ASX code,Shares,Market Value,% of Net Assets
66,Cochlear Ltd,COH AU,"86,352","$28,187,883.36",1.26%
67,Westpac Banking Corp,WBC AU,"1,082,189","$28,158,557.78",1.25%
68,Rea Group Ltd,REA AU,"158,167","$28,155,307.67",1.25%
69,Fortescue Metals Group Ltd,FMG AU,"1,132,198","$28,055,866.44",1.25%
70,Ramsay Health Care Ltd,RHC AU,"516,277","$27,884,120.77",1.24%
71,Igo Ltd,IGO AU,"3,825,999","$27,661,972.77",1.23%
72,Pilbara Minerals Ltd,PLS AU,"7,128,146","$26,873,110.42",1.20%
73,Seek Ltd,SEK AU,"1,110,209","$26,778,241.08",1.19%
74,Idp Education Ltd,IEL AU,"1,547,459","$26,662,718.57",1.19%
75,Aristocrat Leisure Ltd,ALL AU,"630,224","$26,211,016.16",1.17%
76,Arcadium Lithium Plc,LTM AU,"3,918,564","$25,157,180.88",1.12%
77,Other/Cash, -- , -- ,"$1,807,304.27",0.08%
